Episode 90 | Score: -10 | Highest Score: 10 | Epsilon: 0.7631
Episode 91 | Score: -10 | Highest Score: 10 | Epsilon: 0.7608
Episode 92 | Score: 0 | Highest Score: 10 | Epsilon: 0.7585
Episode 93 | Score: -10 | Highest Score: 10 | Epsilon: 0.7562
Episode 94 | Score: 0 | Highest Score: 10 | Epsilon: 0.754
Episode 95 | Score: -10 | Highest Score: 10 | Epsilon: 0.7517
Episode 96 | Score: -10 | Highest Score: 10 | Epsilon: 0.7494
Episode 97 | Score: -10 | Highest Score: 10 | Epsilon: 0.7472
Episode 98 | Score: -10 | Highest Score: 10 | Epsilon: 0.7449
Episode 99 | Score: -10 | Highest Score: 10 | Epsilon: 0.7427
Episode 100 | Score: -10 | Highest Score: 10 | Epsilon: 0.7405
